	#ALIMENTADOR	ALIM_NRO	ME_PSEUDO	ME_TIPO	ME_NOMBRE	ME_ORDEN	UT_TPLNR	UT_TXT	UT_OBJECTNAMEID	UT_TIPO	SPRID	CAPTION	SECUENCIA
30123	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327270	VANO 3x50 Al. T	6327270	LAMT	1089	LAMT 13,2 kV	115
30124	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB202	PIQUETE OB202	6327272	PIQUETE_MT	408	Poste de Madera de M.T.	116
30125	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327273	VANO 3x50 Al. T	6327273	LAMT	1089	LAMT 13,2 kV	117
30126	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB203	PIQUETE OB203	6327275	PIQUETE_MT	408	Poste de Madera de M.T.	118
30127	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327276	VANO 3x50 Al. T	6327276	LAMT	1089	LAMT 13,2 kV	119
30128	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB204	PIQUETE OB204	6327278	PIQUETE_MT	408	Poste de Madera de M.T.	120
30129	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327279	VANO 3x50 Al. T	6327279	LAMT	1089	LAMT 13,2 kV	121
30130	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB205	PIQUETE OB205	6327281	PIQUETE_MT	408	Poste de Madera de M.T.	122
30131	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327282	VANO 3x50 Al. T	6327282	LAMT	1089	LAMT 13,2 kV	123
30132	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB206	PIQUETE OB206	6327284	PIQUETE_MT	408	Poste de Madera de M.T.	124
30133	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327285	VANO 3x50 Al. T	6327285	LAMT	1089	LAMT 13,2 kV	125
30134	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB207	PIQUETE OB207	6327287	PIQUETE_MT	408	Poste de Madera de M.T.	126
30135	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327288	VANO 3x50 Al. T	6327288	LAMT	1089	LAMT 13,2 kV	127
30136	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB208	PIQUETE OB208	6327290	PIQUETE_MT	408	Poste de Madera de M.T.	128
30137	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327291	VANO 3x50 Al. T	6327291	LAMT	1089	LAMT 13,2 kV	129
30138	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB209	PIQUETE OB209	6327293	PIQUETE_MT	408	Poste de Madera de M.T.	130
30139	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327294	VANO 3x50 Al. T	6327294	LAMT	1089	LAMT 13,2 kV	131
30140	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB210	PIQUETE OB210	6327296	PIQUETE_MT	408	Poste de Madera de M.T.	132
30141	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327297	VANO 3x50 Al. T	6327297	LAMT	1089	LAMT 13,2 kV	133
30142	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	96609863	VANO 3x50 Al. T	96609863	LAMT	1089	LAMT 13,2 kV	134
30143	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	96609868	VANO 3x50 Al. T	96609868	LAMT	1089	LAMT 13,2 kV	135
30144	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB211	PIQUETE OB211	6327299	PIQUETE_MT	408	Poste de Madera de M.T.	136
30145	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327301	VANO 3x50 Al. T	6327301	LAMT	1089	LAMT 13,2 kV	137
30146	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB212	PIQUETE OB212	6327303	PIQUETE_MT	408	Poste de Madera de M.T.	138
30147	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327304	VANO 3x50 Al. T	6327304	LAMT	1089	LAMT 13,2 kV	139
30148	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB092	PIQUETE OB092	6327306	PIQUETE_MT	408	Poste de Madera de M.T.	140
30149	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327307	VANO 3x50 Al. T	6327307	LAMT	1089	LAMT 13,2 kV	141
30150	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327310	VANO 3x50 Al. T	6327310	LAMT	1089	LAMT 13,2 kV	142
30151	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB093	PIQUETE OB093	6327312	PIQUETE_MT	408	Poste de Madera de M.T.	143
30152	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327313	VANO 3x50 Al. T	6327313	LAMT	1089	LAMT 13,2 kV	145
30153	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB094	PIQUETE OB094	6327315	PIQUETE_MT	408	Poste de Madera de M.T.	146
30154	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327316	VANO 3x50 Al. T	6327316	LAMT	1089	LAMT 13,2 kV	147
30155	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB095	PIQUETE OB095	6327318	PIQUETE_MT	408	Poste de Madera de M.T.	148
30156	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327320	VANO 3x50 Al. T	6327320	LAMT	1089	LAMT 13,2 kV	149
