#TPLNR	DESCRIPT	TIPO_OBJ_TEC	INVNR	BEGRU	F_ALTA_SAP	F_BAJA_SAP	PTA_SERVICIO	TPLMA	EMPLAZAMIENTO	DIVISION	AREA	OBJECTID	OBJECTNAMEID	TIPO	PARTIDO_GEO	LOCALIDAD_GEO	PARTIDO	LOCALIDAD	SPRID	ALIAS	SECCION	PERFIL	PARTE_OBJETO	OBJETO	LONGITUD	CUADRICULAID	CUADRICULA	FLTYP	COOR_X	COOR_Y	CTRO_COSTO	CALLE	ALTURA_DESDE	ALTURA_HASTA	ENTRE_CALLE_1	ENTRE_CALLE_2	GPS	IDENTIFICADOR
94194858	VANO 3x50 Al. T	LINEA_MT	94194858	MT	23/04/2024		01/01/1997	MM6328469	15326A	6.0	3TI	94194858.0	94194858.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. T	LNAEREMT	LNA132MT	L135	40.55	57489432.0	126	L	5628837.895	6206212.039	4439.0	ARROYO SIN NOMBRE NRO 3					-34.2813 , -58.6008	
CP94197709	SECA LADO 4948-TR1 CT 4948C	CELDA_MT	CP94197709	MT	23/04/2024			4948C	15326A	6.0	3TI	23148072.0	23148072.0	CELDA	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1454.0	CLMI	CTAMM	CEPLATMM				57489456.0	151	P	5628351.727	6199612.241	4439.0	ARROYO TORITO			ARROYO ESPERA	ARROYO TORO	-34.3409 , -58.6051	94197709-FAEK-4948_TR1-TMMB
94194265	VANO 3x50 Al. T	LINEA_MT	94194265	MT	23/04/2024		01/01/1997	MM91457338	15326A	6.0	3TI	94194265.0	94194265.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. T	LNAEREMT	LNA132MT	L135	50.35	57489432.0	126	L	5628671.415	6204512.951	4439.0	ARROYO ANDRESITO					-34.2967 , -58.6024	
94194485	VANO 3x50 Al. V	LINEA_MT	94194485	MT	23/04/2024		01/01/1998	MM95885564	15326A	6.0	3TI	94194485.0	94194485.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	37.06	57489433.0	125	L	5625354.634	6206298.751	4439.0	RIO CARAPACHAY					-34.281 , -58.6387	
94159119	VANO 3x50 Al. T	LINEA_MT	94159119	MT	23/04/2024		01/01/1998	MM91457323	15326A	6.0	3TI	94159119.0	94159119.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. T	LNAEREMT	LNA132MT	L135	39.37	57489456.0	151	L	5629648.314	6200419.174	4439.0	ARROYO TORO					-34.3334 , -58.5912	
AF363-003	PIQUETE AF363	PIQUETE_MT	94107169	MT	24/12/2017		01/01/1995	MM6332010	15326A	6.0	3TI	94107169.0	94107169.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489472.0	165	Q	5628747.948	6196853.432	4439.0	ARROYO ESPERA			ARROYO ESPERA		-34.3657 , -58.6004	AF363
6327680	VANO 3x50/8 Al/Ac. LP	LINEA_MT	6327680	MT	22/03/2016		01/01/1998	MM6327661	15326A	6.0	3TI	6327680.0	6327680.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	40.37	57489432.0	126	L	5630216.097	6205818.431	4439.0	ARROYO ANTEQUERA	802	2200			-34.2847 , -58.5858	
BD626	PIQUETE BD626	PIQUETE_MT	5579964	MT	22/03/2016		27/03/2023	MM33227494	13212A	1.0	2ME	5579964.0	5579964.0	PIQUETE_MT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	408.0	MPSM		POMTMADS	POMTMADE	PO14		57491255.0	458P	Q	5595774.049	6145564.539	4424.0	RUTA PROV NRO 41	0       		RUTA PROV NRO 41		-34.8315 , -58.953	BD626
5689945	VANO 3x120 Al. V	LINEA_MT	5689945	MT	13/04/2016		01/01/1971	MM5690025	13212A	1.0	2ME	39882700.0	5689945.0	LAMT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	1089.0	LMT13	3x120 Al. 	LNAEREMT	LNA132MT	L139	78.07	57489646.0	492	L	5599599.169	6139951.569	4424.0	2 DE ABRIL	300	398			-34.8817 , -58.9105	
AJ821-002	PIQUETE AJ821	PIQUETE_MT	68528102	MT	22/04/2018		09/01/2018	MM96984816	13212A	1.0	2ME	68528102.0	68528102.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489619.0	441	Q	5595577.184	6150586.663	4424.0	RUTA NRO 6	10	10	RICARDO*		-34.7863 , -58.9557	AJ821
AK409-002	PIQUETE AK409	PIQUETE_MT	72828004	MT	27/01/2019		04/09/2018	MM77660722	13212A	1.0	2ME	72828004.0	72828004.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	422.0	MPSH		POMTHAAR	POMTHARM	PH14		57491312.0	422M	Q	5593940.05	6152037.791	4424.0	RUTA NRO 6			INES*		-34.7734 , -58.9738	AK409
6330489	VANO 3x50/8 Al/Ac. P. LP	LINEA_MT	6330489	MT	22/03/2016		15/08/2024	MM6330636	15326A	6.0	3TI	6330489.0	6330489.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	45.06	57489473.0	164	L	5626209.764	6195947.555	4439.0	RIO CARAPACHAY	0       				-34.3742 , -58.6279	
5074654	TRAMO 3x1x185/70 Al. XLPE	CABLE_MT	5074654	MT	22/03/2016		01/01/1999	MM60249542	23748A	2.0	1CA	77201756.0	5074654.0	CSMT	61.0	351.0	CAPITAL FEDERAL	RECOLETA	1091.0	CMT13	3x1x185/70	CSMT13KV	CS132XLP	P185	9.15	57490708.0	311I	L	5646742.152	6172044.597	4410.0	AGUERO	2201	2299			-34.5868 , -58.4006	
6331123	VANO 3x50/8 Al/Ac. LP	LINEA_MT	6331123	MT	22/03/2016		01/01/1998	MM96295187	15326A	6.0	3TI	6331123.0	6331123.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	39.65	57489457.0	150	L	5624379.724	6200546.763	4439.0	RIO CARAPACHAY	0       				-34.3329 , -58.6484	
AF731-003	PIQUETE AF731	PIQUETE_MT	94177976	MT	24/12/2017		01/01/1998	MM95858046	15326A	6.0	3TI	94177976.0	94177976.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489419.0	112	Q	5627399.364	6206924.806	4439.0	RIO PARANA DE LAS PALMAS			RIO PARANA DE LAS PALMAS		-34.2751 , -58.6166	AF731
AA378-003	PIQUETE AA378	PIQUETE_MT	23646974	MT	22/03/2016		06/07/2007	MM91457323	15326A	6.0	3TI	23646974.0	23646974.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	441.0	MPCR2		POMTMADS	POMTMADE	PO14		57489456.0	151	Q	5629623.165	6200615.842	4439.0	ARROYO TORO			ARROYO TORO		-34.3317 , -58.5915	AA378
OA542	PIQUETE OA542	PIQUETE_MT	6261611	MT	22/03/2016		17/12/2002	MM87716688	15326A	6.0	3TI	6261611.0	6261611.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57493311.0	198L	Q	5631319.075	6191398.366	4439.0	RIO SARMIENTO	0       				-34.4145 , -58.5716	OA542
6331030	VANO 3x50/8 Al/Ac. LP	LINEA_MT	6331030	MT	22/03/2016		07/02/2012	MM96295187	15326A	6.0	3TI	6331030.0	6331030.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	40.9	57489457.0	150	L	5624710.096	6200105.355	4439.0	RIO CARAPACHAY	0       				-34.3369 , -58.6448	
